idx,test_loss,test_accuracy,train_loss,train_accuracy
0,0.3037306070327759,0.9147389531135559,0.06132660061120987,0.9828441739082336
1,0.32426419854164124,0.9101123809814453,0.05658331513404846,0.9840843677520752
2,0.3324548900127411,0.9041639566421509,0.13525739312171936,0.9586606621742249
3,0.4105927646160126,0.9054858088493347,0.00821752194315195,0.9985531568527222
4,0.37599465250968933,0.9134171009063721,0.014189576730132103,0.9968996047973633
5,0.3746604025363922,0.9021811485290527,0.023903140798211098,0.9948326349258423
6,0.5590951442718506,0.9048249125480652,0.0009005478350445628,1.0
7,0.4982300102710724,0.9147389531135559,0.0007053290028125048,1.0
8,0.38157957792282104,0.9107733368873596,0.0024449978955090046,1.0
9,0.33118918538093567,0.9114342927932739,0.07757017016410828,0.9751964211463928
10,0.3377474546432495,0.8995373845100403,0.04040950909256935,0.9890450835227966
11,0.32019880414009094,0.9035030007362366,0.07033611834049225,0.9805704951286316
12,0.3088766038417816,0.9140780568122864,0.040684621781110764,0.9884250164031982
13,0.35918179154396057,0.9101123809814453,0.013170951046049595,0.9971062541007996
14,0.30039432644844055,0.9028420448303223,0.10188557207584381,0.9685820937156677
15,0.4863678812980652,0.9068077206611633,0.006339528597891331,0.9989665746688843
16,0.39151743054389954,0.9187045693397522,0.0009562966879457235,1.0
17,0.403392493724823,0.9134171009063721,0.001230215304531157,1.0
18,0.34806254506111145,0.9127561450004578,0.008469253778457642,0.9989665746688843
19,0.3303976058959961,0.9074686169624329,0.02634759061038494,0.9940057992935181
20,0.3216010630130768,0.9015201926231384,0.07141910493373871,0.9795370101928711
21,0.3476317226886749,0.9147389531135559,0.01295994408428669,0.9973129630088806
22,0.36317169666290283,0.9160608649253845,0.014119160361588001,0.9958661198616028
23,0.3776579201221466,0.9094514846801758,0.002220751252025366,1.0
24,0.3676435947418213,0.9173827171325684,0.016223831102252007,0.9960727691650391
25,0.31755322217941284,0.9153999090194702,0.005272749345749617,1.0
26,0.3581013083457947,0.9200264811515808,0.003396057290956378,0.9995866417884827
